Date,AvgNO2,AvgPPM
2013-10-09,45.08,38.88
2013-03-01,51.64,39.00
2013-10-23,44.51,39.02
2013-06-07,51.15,39.05
2013-10-25,42.76,39.13
2013-01-21,80.91,39.23
2013-05-31,81.50,39.23
2013-07-19,41.24,39.40
2013-11-23,52.13,40.25
2013-04-05,48.15,40.27
2013-07-17,74.80,40.79
2013-03-24,21.96,40.91
2013-05-29,79.42,40.92
2013-12-02,49.80,40.92
2013-01-15,88.82,40.93
2013-01-13,52.98,41.02
2013-04-15,28.71,41.04
2013-12-11,46.90,41.20
2013-10-16,30.12,41.38
2013-03-19,63.91,41.57
2013-04-06,60.43,41.67
2013-04-07,34.73,41.80
2013-10-17,52.42,41.92
2013-03-02,47.68,42.23
2013-09-28,32.09,42.31
2013-11-15,47.50,42.62
2013-09-30,31.05,42.81
2013-01-17,72.53,43.57
2013-03-21,43.49,43.58
2013-01-23,61.38,43.75
2013-03-14,85.43,45.43
2013-03-13,93.02,45.84
2013-07-08,44.50,46.60
2013-10-15,36.15,46.70
2013-11-16,34.60,46.86
2013-02-26,44.47,47.61
2013-03-25,36.10,47.98
2013-03-22,46.52,48.35
2013-07-22,38.39,48.39
2013-02-13,48.50,49.05
2013-11-26,72.68,49.09
2013-02-18,59.93,49.57
2013-03-26,42.49,49.59
2013-01-10,81.42,49.75
2013-07-18,59.18,49.93
2013-12-12,35.34,50.00
2013-04-03,35.70,50.26
2013-06-18,61.22,50.37
2013-03-18,85.08,50.51
2013-03-27,45.42,51.25
2013-12-03,51.54,52.24
2013-02-28,64.60,53.55
2013-01-24,83.90,56.71
2013-03-20,61.90,57.14
2013-02-15,98.50,57.30
2013-07-12,57.59,57.37
2013-10-01,28.62,57.73
2013-02-20,62.46,57.76
2013-03-28,60.57,58.11
2013-07-10,43.98,58.12
2013-06-19,76.65,58.56
2013-04-08,49.30,60.05
2013-04-09,60.10,60.42
2013-01-09,90.16,60.42
2013-02-12,63.89,64.68
2013-03-06,47.27,70.30
2013-04-10,43.61,70.99
2013-03-04,50.09,72.20
2013-02-19,90.00,74.78
2013-07-05,53.70,75.24
2013-03-05,58.87,78.88
2013-06-20,66.19,99.53
