664,428
689,428
709,406
713,378
719,373
719,352
742,339
742,339
744,298
741,263
729,234
720,213
718,211
681,184
665,172
638,157
604,147
570,134
570,134
538,123
514,116
484,108
458,106
448,103
423,102
392,103
363,112
345,116
343,118
298,139
285,155
245,173
237,180
231,193
191,248
179,254
162,274
153,291
148,306
134,323
138,337
152,367
175,400
199,431
215,448
231,466
710,446
727,444
754,438
762,426
776,397
782,376
792,357
792,357
803,320
806,292
806,268
802,249
795,241
782,230
766,212
751,194
738,182
726,174
709,162
684,155
630,136
606,114
582,104
551,94
536,89
525,89
511,91
490,88
483,86
464,92
401,86
377,89
353,93
352,98
341,108
326,117
300,136
296,151
296,151
285,181
281,213
263,230
246,243
222,256
222,257
206,288
199,323
195,333
193,346
193,349
229,393
242,415
255,427
274,430
288,446
229,343
264,325
275,311
287,292
305,270
305,270
331,234
344,215
358,191
364,173
376,159
393,162
397,154
425,169
434,173
434,173
470,173
484,170
513,162
541,165
567,154
581,170
596,175
613,174
630,200
646,208
651,235
674,254
689,249
681,271
673,297
683,307
684,313
696,354
683,386
672,392
666,400
732,405
747,401
761,393
773,290
750,290
731,287
726,274
392,226
389,230
264,194
232,172
202,176
188,187
178,194
175,199
168,211
159,223
150,242
144,264
144,264
136,271
129,283
122,294
121,295
129,366
132,382
136,386
156,391
191,394
326,309
331,295
340,275
375,258
413,250
450,251
466,245
470,245
508,239
545,239
571,239
598,238
615,245
615,269
606,292
590,318
571,316
561,316
540,201
524,199
516,207
486,189
466,188
456,190
453,123
442,96
433,97
421,87
414,109
373,135
373,155
374,178
377,187
378,190
455,261
481,276
487,279
487,283
496,286
530,297
612,219
612,251
609,256
602,269
592,279
581,291
577,302
471,366
453,338
449,328
449,311
449,309
470,341
470,345
377,317
373,314
359,290
338,351
316,354
259,370
619,337
641,339
667,355
670,376
654,402
593,392
560,379
506,375
342,428
380,400
386,366
